r v real_class
2.066 0.526 BS
2.636 1.453 ITL
2.95 0.454 IN
0.782 0.02 BS
2.363 0.264 ITL
0.768 0.922 BS
1.097 0.268 ITL
2.428 1.05 IN
0.966 0.619 ITL
1.628 2.829 ITL
2.944 0.333 IN
0.18 1.594 CL
2.083 0.254 IN
1.575 0.63 IN
0.164 2.166 RIN
0.642 1.552 RIN
1.007 0.284 IN
0.875 2.313 ITL
0.636 0.318 CL
0.897 1.455 IN
2.243 0.121 IN
0.689 0.508 CL
2.253 1.001 ITL
1.1 0.616 CL
1.371 0.856 IN
0.183 1.967 RIN
2.478 0.548 BS
0.378 1.678 ITL
2.011 0.029 IN
2.392 2.663 ITL
1.081 0.01 BS
2.832 0.084 IN
1.346 0.674 IN
1.438 0.402 IN
1.45 0.01 BS
2.595 1.257 ITL
0.25 1.537 RIN
0.548 1.501 RIN
0.892 0.813 RIN
0.483 0.33 BS
1.179 0.202 IN
1.153 0.69 BS
0.978 0.737 IN
1.375 0.269 BS
1.23 0.024 CL
1.51 0.638 BS
2.712 0.208 ITL
0.871 1.533 RIN
0.64 0.32 CL
1.809 0.643 IN
0.51 0.453 ITL
1.863 0.2 BS
1.685 0.498 BS
0.909 1.607 BS
1.076 0.193 BS
0.834 0.137 RIN
0.643 1.091 RIN
0.666 0.086 ITL
2.014 0.427 BS
0.954 0.033 CL
0.666 0.664 CL
0.907 0.339 BS
0.112 1.727 CL
1.711 2.956 ITL
2.874 2.01 ITL
2.087 0.146 IN
2.373 0.462 ITL
1.607 0.495 IN
2.148 1.31 ITL
1.501 1.258 ITL
0.558 0.209 BS
2.443 0.303 IN
2.772 2.707 ITL
2.86 0.43 ITL
2.711 0.222 IN
1.008 0.258 ITL
0.82 0.61 ITL
0.858 0.601 CL
2.121 1.189 ITL
1.197 0.28 IN
1.367 0.741 BS
1.562 0.692 IN
2.086 0.119 ITL
1.759 0.165 BS
1.906 1.154 ITL
2.993 0.255 ITL
1.013 1.277 ITL
0.26 1.726 RIN
0.366 2.297 ITL
0.371 1.991 RIN
0.469 1.921 RIN
1.857 0.659 ITL
1.723 1.384 ITL
1.028 0.662 BS
2.771 2.196 ITL
0.998 0.76 BS
1.305 0.228 BS
1.622 0.118 BS
0.819 0.373 CL
1.57 2.352 ITL
0.274 1.248 RIN
1.041 0.307 BS
1.132 0.17 BS
1.796 1.578 ITL
2.03 0.358 IN
2.301 0.327 IN
1.014 0.11 BS
0.071 1.907 CL
2.065 0.758 ITL
0.333 1.734 RIN
0.404 1.095 CL
0.348 0.953 RIN
0.122 0.658 CL
0.484 0.927 RIN
0.757 0.153 BS
0.096 0.759 RIN
2.738 0.478 ITL
1.775 0.313 IN
2.822 0.214 IN
1.56 1.168 ITL
2.517 0.426 IN
0.906 0.043 CL
0.463 0.256 RIN
1.648 0.921 IN
1.883 0.525 IN
2.692 2.567 ITL
1.404 2.959 ITL
0.527 1.23 IN
1.544 1.319 ITL
0.841 0.067 RIN
0.676 0.915 ITL
0.834 1.725 RIN
0.657 0.468 CL
2.14 2.898 ITL
1.865 0.325 ITL
